dataset,term,method,inference_seconds,MSE,MAE,RMSE,MAPE,sMAPE,MASE,ND,CRPS
CPHL/H,short,covariate_prediction,1.5514869140461087,0.3634176779817256,0.33903065999466,0.4101567684461488,0.333054094323602,0.2883500292506055,1.2422315658671745,0.2835850089458662,0.2835850089458662
CPHL/H,short,bayes_covariate_prediction,1.5514869140461087,0.3634176779817256,0.33903065999466,0.4101567684461488,0.333054094323602,0.2883500292506055,1.2422315658671745,0.2835850089458662,0.2835850089458662
CPHL/H,short,full_ridge_shared,1.5514869140461087,0.3634176779817256,0.33903065999466,0.4101567684461488,0.333054094323602,0.2883500292506055,1.2422315658671745,0.2835850089458662,0.2835850089458662
Coastal_T_S/15T,long,vanilla,0.3515026643872261,108.96287568429898,4.737478591954268,4.8885875044464795,0.13901065910247734,0.12264874172131907,1.3934309894823107,0.11623821347016972,0.11623821347016972
Coastal_T_S/15T,long,covariate_prediction,10.644530336372554,110.79168279508517,4.715881248138569,4.921718955439418,0.1394929126267217,0.12167251035719846,1.397582038359858,0.11560643921902773,0.11560643921902773
Coastal_T_S/15T,long,bayes_covariate_prediction,10.644558736123145,108.84199674128438,4.724652200584058,4.877529463953794,0.1389607621058312,0.1221366171655889,1.3812489791763958,0.11580126723256534,0.11580126723256534
Coastal_T_S/15T,long,full_ridge_shared,12.92588133085519,108.93883412700067,4.737031232515971,4.886206997505729,0.1390090145246259,0.1225892587845204,1.3852269366090066,0.11618121584878376,0.11618121584878376
Coastal_T_S/15T,medium,vanilla,1.025956455618143,110.3513027815047,4.709172642716655,4.881360009896579,0.13703611913826397,0.12122103140512915,1.252951399148607,0.11499582796459694,0.11499582796459694
Coastal_T_S/15T,medium,covariate_prediction,25.763833520002663,111.86663891651777,4.710903193111773,4.919785817001834,0.1403036143367934,0.1210218575232006,1.275868874550904,0.11514394894200125,0.11514394894200125
Coastal_T_S/15T,medium,bayes_covariate_prediction,25.763864560052752,110.21773003128393,4.708368234678551,4.876941429293098,0.1382394445395155,0.12113499697744784,1.2565957599514739,0.11499639387268193,0.11499639387268193
Coastal_T_S/15T,medium,full_ridge_shared,29.539243148639798,110.35204388059947,4.709307309918933,4.881090951572352,0.13703649775529136,0.12122427743159336,1.2536938496056846,0.11499848481618383,0.11499848481618383
Coastal_T_S/15T,short,vanilla,8.216380526311696,111.07518809767019,4.656986275425664,4.85146460839196,0.13437469434151197,0.11940646351598386,1.1295658974752307,0.11493460645350743,0.11493460645350743
Coastal_T_S/15T,short,covariate_prediction,8.216380526311696,111.07518809767019,4.656986275425664,4.85146460839196,0.13437469434151197,0.11940646351598386,1.1295658974752307,0.11493460645350743,0.11493460645350743
Coastal_T_S/15T,short,bayes_covariate_prediction,8.216380526311696,111.07518809767019,4.656986275425664,4.85146460839196,0.13437469434151197,0.11940646351598386,1.1295658974752307,0.11493460645350743,0.11493460645350743
Coastal_T_S/15T,short,full_ridge_shared,8.216380526311696,111.07518809767019,4.656986275425664,4.85146460839196,0.13437469434151197,0.11940646351598386,1.1295658974752307,0.11493460645350743,0.11493460645350743
Coastal_T_S/20T,long,vanilla,0.09297521691769361,0.08221854715645718,0.19885568442168056,0.24285779830857543,0.008057139264462873,0.008017360267465728,1.6549053676366192,0.008036388190222182,0.008036388190222182
Coastal_T_S/20T,long,covariate_prediction,0.09297521691769361,0.08221854715645718,0.19885568442168056,0.24285779830857543,0.008057139264462873,0.008017360267465728,1.6549053676366192,0.008036388190222182,0.008036388190222182
Coastal_T_S/20T,long,bayes_covariate_prediction,0.09297521691769361,0.08221854715645718,0.19885568442168056,0.24285779830857543,0.008057139264462873,0.008017360267465728,1.6549053676366192,0.008036388190222182,0.008036388190222182
Coastal_T_S/20T,long,full_ridge_shared,0.09297521691769361,0.08221854715645718,0.19885568442168056,0.24285779830857543,0.008057139264462873,0.008017360267465728,1.6549053676366192,0.008036388190222182,0.008036388190222182
Coastal_T_S/20T,medium,vanilla,0.26948364078998566,0.030543685250192798,0.12904217861316822,0.15612730315371245,0.005320439880512482,0.005314129693670657,1.0186016295509648,0.005308073086757545,0.005308073086757545
Coastal_T_S/20T,medium,covariate_prediction,0.26948364078998566,0.030543685250192798,0.12904217861316822,0.15612730315371245,0.005320439880512482,0.005314129693670657,1.0186016295509648,0.005308073086757545,0.005308073086757545
Coastal_T_S/20T,medium,bayes_covariate_prediction,0.26948364078998566,0.030543685250192798,0.12904217861316822,0.15612730315371245,0.005320439880512482,0.005314129693670657,1.0186016295509648,0.005308073086757545,0.005308073086757545
Coastal_T_S/20T,medium,full_ridge_shared,0.26948364078998566,0.030543685250192798,0.12904217861316822,0.15612730315371245,0.005320439880512482,0.005314129693670657,1.0186016295509648,0.005308073086757545,0.005308073086757545
Coastal_T_S/20T,short,vanilla,2.1544041028246284,0.0064321118755883006,0.055767703350679376,0.06377681092786863,0.0022613458809691367,0.002261818953673134,0.4509885143334379,0.002261313585460879,0.002261313585460879
Coastal_T_S/20T,short,covariate_prediction,2.1544041028246284,0.0064321118755883006,0.055767703350679376,0.06377681092786863,0.0022613458809691367,0.002261818953673134,0.4509885143334379,0.002261313585460879,0.002261313585460879
Coastal_T_S/20T,short,bayes_covariate_prediction,2.1544041028246284,0.0064321118755883006,0.055767703350679376,0.06377681092786863,0.0022613458809691367,0.002261818953673134,0.4509885143334379,0.002261313585460879,0.002261313585460879
Coastal_T_S/20T,short,full_ridge_shared,2.1544041028246284,0.0064321118755883006,0.055767703350679376,0.06377681092786863,0.0022613458809691367,0.002261818953673134,0.4509885143334379,0.002261313585460879,0.002261313585460879
Coastal_T_S/5T,long,vanilla,1.336563072167337,139.01949491811786,3.0575495119620526,3.4466377546684464,0.09625519787429908,0.07212822630913227,1.2500432573209515,0.06881161862292344,0.06881161862292344
Coastal_T_S/5T,long,covariate_prediction,339.63032739888877,133.09124766384022,3.076437066306216,3.4265480117481952,0.09083878260954999,0.07603718335876106,1.279881649658839,0.07121040430883618,0.07121040430883618
Coastal_T_S/5T,long,bayes_covariate_prediction,339.6305034412071,133.92396640133674,3.0620129044200914,3.4105552709448794,0.09278278189783062,0.07418582566878885,1.2503174125729288,0.06990196849874461,0.06990196849874461
Coastal_T_S/5T,long,full_ridge_shared,340.96472914982587,139.06028904547932,3.0644673828830222,3.453156229470281,0.09650312975924025,0.07231695995035958,1.3463640811584776,0.06900926131923923,0.06900926131923923
Coastal_T_S/5T,medium,vanilla,3.8191984025761485,128.49931729763188,2.9648784215421515,3.2445017467094495,0.09203564292614419,0.07001926591600167,1.0223458945772905,0.06606820802716572,0.06606820802716572
Coastal_T_S/5T,medium,covariate_prediction,790.5677753351629,125.47195765047994,2.9753919241732736,3.2389659542888616,0.08758355413354955,0.07152429908911934,1.0405234835732449,0.06681194614146384,0.06681194614146384
Coastal_T_S/5T,medium,bayes_covariate_prediction,790.5679581286386,126.03668321268128,2.9655868528627978,3.226157579058779,0.08955157670777154,0.07076115164346326,1.0236433730909045,0.06623087049156245,0.06623087049156245
Coastal_T_S/5T,medium,full_ridge_shared,794.4177746186033,128.49695108080272,2.9648878263295546,3.2445163879738383,0.09203615077021106,0.07001964603115587,1.022129558521952,0.06606861713551647,0.06606861713551647
Coastal_T_S/5T,short,vanilla,29.546960392035544,120.90686121160007,2.844663141160534,3.016799585713193,0.0863901207652781,0.06653484284327829,0.78910713006081,0.061741954444535875,0.061741954444535875
Coastal_T_S/5T,short,covariate_prediction,1104.5166846038774,119.41737138410781,2.844371155547732,3.0053628574348643,0.08449089454921253,0.06673491150422611,0.7888440489264078,0.0616623830143632,0.0616623830143632
Coastal_T_S/5T,short,bayes_covariate_prediction,1104.5171151515096,119.77426727573004,2.843033179256615,3.004999848999742,0.085371671447124,0.06659722491018506,0.7867121588180526,0.06164464615105777,0.06164464615105777
Coastal_T_S/5T,short,full_ridge_shared,1110.083986658603,120.90700970270026,2.844664073091981,3.016807356966126,0.08638931796527148,0.06653483571278403,0.7890521133658314,0.061741932076481855,0.061741932076481855
Coastal_T_S/H,long,vanilla,0.7008360829204321,23.383979350247568,1.4581599270878114,1.8619835735473613,0.04693526757462177,0.04113420654941958,2.3176755828746387,0.04157413580120169,0.04157413580120169
Coastal_T_S/H,long,covariate_prediction,0.7008360829204321,23.383979350247568,1.4581599270878114,1.8619835735473613,0.04693526757462177,0.04113420654941958,2.3176755828746387,0.04157413580120169,0.04157413580120169
Coastal_T_S/H,long,bayes_covariate_prediction,0.7008360829204321,23.383979350247568,1.4581599270878114,1.8619835735473613,0.04693526757462177,0.04113420654941958,2.3176755828746387,0.04157413580120169,0.04157413580120169
Coastal_T_S/H,long,full_ridge_shared,0.7008360829204321,23.383979350247568,1.4581599270878114,1.8619835735473613,0.04693526757462177,0.04113420654941958,2.3176755828746387,0.04157413580120169,0.04157413580120169
Coastal_T_S/H,medium,vanilla,1.3628885233774781,21.7698116119976,1.3561895227825969,1.691424176146847,0.04152611477577608,0.036289889048672995,1.621761041052587,0.03915363223675824,0.03915363223675824
Coastal_T_S/H,medium,covariate_prediction,1.3628885233774781,21.7698116119976,1.3561895227825969,1.691424176146847,0.04152611477577608,0.036289889048672995,1.621761041052587,0.03915363223675824,0.03915363223675824
Coastal_T_S/H,medium,bayes_covariate_prediction,1.3628885233774781,21.7698116119976,1.3561895227825969,1.691424176146847,0.04152611477577608,0.036289889048672995,1.621761041052587,0.03915363223675824,0.03915363223675824
Coastal_T_S/H,medium,full_ridge_shared,1.3628885233774781,21.7698116119976,1.3561895227825969,1.691424176146847,0.04152611477577608,0.036289889048672995,1.621761041052587,0.03915363223675824,0.03915363223675824
Coastal_T_S/H,short,vanilla,9.696413544006646,14.592356239482005,1.0799416032337668,1.3385821561435216,0.02935622437047867,0.02748451161994815,0.9169076911374845,0.027164401398922875,0.027164401398922875
Coastal_T_S/H,short,covariate_prediction,9.696413544006646,14.592356239482005,1.0799416032337668,1.3385821561435216,0.02935622437047867,0.02748451161994815,0.9169076911374845,0.027164401398922875,0.027164401398922875
Coastal_T_S/H,short,bayes_covariate_prediction,9.696413544006646,14.592356239482005,1.0799416032337668,1.3385821561435216,0.02935622437047867,0.02748451161994815,0.9169076911374845,0.027164401398922875,0.027164401398922875
Coastal_T_S/H,short,full_ridge_shared,9.696413544006646,14.592356239482005,1.0799416032337668,1.3385821561435216,0.02935622437047867,0.02748451161994815,0.9169076911374845,0.027164401398922875,0.027164401398922875
Commodity_Import/M,short,vanilla,0.41394280083477497,1553826.9339495872,502.59704690774277,607.3307599287584,0.374500118785188,0.23649934538373324,1.4590156952269822,0.2954049002128275,0.2954049002128275
Commodity_Import/M,short,covariate_prediction,0.41394280083477497,1553826.9339495872,502.59704690774277,607.3307599287584,0.374500118785188,0.23649934538373324,1.4590156952269822,0.2954049002128275,0.2954049002128275
Commodity_Import/M,short,bayes_covariate_prediction,0.41394280083477497,1553826.9339495872,502.59704690774277,607.3307599287584,0.374500118785188,0.23649934538373324,1.4590156952269822,0.2954049002128275,0.2954049002128275
Commodity_Import/M,short,full_ridge_shared,0.41394280083477497,1553826.9339495872,502.59704690774277,607.3307599287584,0.374500118785188,0.23649934538373324,1.4590156952269822,0.2954049002128275,0.2954049002128275
Commodity_Production/M,short,vanilla,1.6302812825888395,58078.37486751032,65.79794792228593,76.80300620554415,0.20594103964569138,0.16379191956675082,0.9052349729560767,0.15718943832143556,0.15718943832143556
Commodity_Production/M,short,covariate_prediction,1.6302812825888395,58078.37486751032,65.79794792228593,76.80300620554415,0.20594103964569138,0.16379191956675082,0.9052349729560767,0.15718943832143556,0.15718943832143556
Commodity_Production/M,short,bayes_covariate_prediction,1.6302812825888395,58078.37486751032,65.79794792228593,76.80300620554415,0.20594103964569138,0.16379191956675082,0.9052349729560767,0.15718943832143556,0.15718943832143556
Commodity_Production/M,short,full_ridge_shared,1.6302812825888395,58078.37486751032,65.79794792228593,76.80300620554415,0.20594103964569138,0.16379191956675082,0.9052349729560767,0.15718943832143556,0.15718943832143556
Crypto/D,short,vanilla,0.12619594298303127,13407382.124447713,1476.153512099937,1767.7680310060641,0.09323376572345651,0.09353011120937967,6.414715690906018,0.0945085325361152,0.0945085325361152
Crypto/D,short,covariate_prediction,0.12619594298303127,13407382.124447713,1476.153512099937,1767.7680310060641,0.09323376572345651,0.09353011120937967,6.414715690906018,0.0945085325361152,0.0945085325361152
Crypto/D,short,bayes_covariate_prediction,0.12619594298303127,13407382.124447713,1476.153512099937,1767.7680310060641,0.09323376572345651,0.09353011120937967,6.414715690906018,0.0945085325361152,0.0945085325361152
Crypto/D,short,full_ridge_shared,0.12619594298303127,13407382.124447713,1476.153512099937,1767.7680310060641,0.09323376572345651,0.09353011120937967,6.414715690906018,0.0945085325361152,0.0945085325361152
ECDC_COVID/D,short,vanilla,0.5772164668887854,50053.30063052206,122.22063530109547,143.29373338545125,0.5302898552765807,0.3390622629829843,3.2510712169962535,0.4029229656744438,0.4029229656744438
ECDC_COVID/D,short,covariate_prediction,0.5772164668887854,50053.30063052206,122.22063530109547,143.29373338545125,0.5302898552765807,0.3390622629829843,3.2510712169962535,0.4029229656744438,0.4029229656744438
ECDC_COVID/D,short,bayes_covariate_prediction,0.5772164668887854,50053.30063052206,122.22063530109547,143.29373338545125,0.5302898552765807,0.3390622629829843,3.2510712169962535,0.4029229656744438,0.4029229656744438
ECDC_COVID/D,short,full_ridge_shared,0.5772164668887854,50053.30063052206,122.22063530109547,143.29373338545125,0.5302898552765807,0.3390622629829843,3.2510712169962535,0.4029229656744438,0.4029229656744438
ECDC_COVID/W,short,vanilla,0.9259937526658177,2437815.854514617,573.4415339589433,668.2329133809108,1.093090557670717,0.541850297822124,1.4613554223830325,0.6585358884543626,0.6585358884543626
ECDC_COVID/W,short,covariate_prediction,0.9259937526658177,2437815.854514617,573.4415339589433,668.2329133809108,1.093090557670717,0.541850297822124,1.4613554223830325,0.6585358884543626,0.6585358884543626
ECDC_COVID/W,short,bayes_covariate_prediction,0.9259937526658177,2437815.854514617,573.4415339589433,668.2329133809108,1.093090557670717,0.541850297822124,1.4613554223830325,0.6585358884543626,0.6585358884543626
ECDC_COVID/W,short,full_ridge_shared,0.9259937526658177,2437815.854514617,573.4415339589433,668.2329133809108,1.093090557670717,0.541850297822124,1.4613554223830325,0.6585358884543626,0.6585358884543626
EWELD_Load/15T,long,vanilla,0.08881433214992285,1323.3334294279196,15.111050563662625,21.0552916048615,0.3823781963367166,0.3302443019402501,0.7570063801041875,0.22796577855276387,0.22796577855276387
EWELD_Load/15T,long,covariate_prediction,0.8397601488977671,1335.3954608625197,15.6617126149835,21.797324008262475,0.4404267237990882,0.35527142126968436,0.8054973741519825,0.2639479097541433,0.2639479097541433
EWELD_Load/15T,long,bayes_covariate_prediction,0.8397794291377068,1290.1929131035786,15.1387633644104,21.036936005892024,0.40000879098849484,0.3359297052031206,0.7652106986331485,0.23759927540742298,0.23759927540742298
EWELD_Load/15T,long,full_ridge_shared,0.8973577013239264,1294.9692600314572,15.163959671696125,21.041572236790667,0.39856297142739255,0.33174317132327913,0.7692250106679871,0.2352966047620903,0.2352966047620903
EWELD_Load/15T,medium,vanilla,0.6313169533386827,1200.0988204809437,13.960417258052068,19.004161864235947,0.36899148769466017,0.30300369085936174,0.6378522480790986,0.21443874502549345,0.21443874502549345
EWELD_Load/15T,medium,covariate_prediction,3.8333114301785827,1260.4309366820273,14.318258042613579,19.396661206190622,0.3625624311973988,0.3086632294765998,0.6573373076543871,0.22277020290543628,0.22277020290543628
EWELD_Load/15T,medium,bayes_covariate_prediction,3.833335369825363,1211.7022105549818,14.030908035125496,19.04923172228452,0.36246405820202604,0.3014533029147455,0.6382044538362516,0.21490486013573118,0.21490486013573118
EWELD_Load/15T,medium,full_ridge_shared,4.0759735675528646,1212.8768570620646,14.039224490080874,19.11872633604121,0.37438348110500863,0.30380484994969875,0.6412808553163777,0.21653436486114302,0.21653436486114302
EWELD_Load/15T,short,vanilla,2.5516447043046355,1113.620725529434,12.498335043148005,16.005388549436812,0.323774710479291,0.276482151715881,0.5334183484643793,0.3333459938360841,0.3333459938360841
EWELD_Load/15T,short,covariate_prediction,2.5516447043046355,1113.620725529434,12.498335043148005,16.005388549436812,0.323774710479291,0.276482151715881,0.5334183484643793,0.3333459938360841,0.3333459938360841
EWELD_Load/15T,short,bayes_covariate_prediction,2.5516447043046355,1113.620725529434,12.498335043148005,16.005388549436812,0.323774710479291,0.276482151715881,0.5334183484643793,0.3333459938360841,0.3333459938360841
EWELD_Load/15T,short,full_ridge_shared,2.5516447043046355,1113.620725529434,12.498335043148005,16.005388549436812,0.323774710479291,0.276482151715881,0.5334183484643793,0.3333459938360841,0.3333459938360841
Finland_Traffic/15T,long,vanilla,0.025484228506684303,1830.3234995740288,24.423499212378545,38.66784972988518,0.3722354115602905,0.23293730070743984,0.592638224850232,0.18906701311483226,0.18906701311483226
Finland_Traffic/15T,long,covariate_prediction,0.6153218932449818,1832.211955809672,24.558450914564588,38.669967038344396,0.3546893752127438,0.22675922004466623,0.5959661962844425,0.1901747270006865,0.1901747270006865
Finland_Traffic/15T,long,bayes_covariate_prediction,0.6153359934687614,1798.4011210273784,24.06119155777352,38.08115092009075,0.3563755707968359,0.22526935183150787,0.5839265253308018,0.1864499759480252,0.1864499759480252
Finland_Traffic/15T,long,full_ridge_shared,0.6157319080084562,1931.0518248120416,25.31226500336613,39.71144668445057,0.3924260021663998,0.2381332112389132,0.6142223302439473,0.1959777363120241,0.1959777363120241
Finland_Traffic/15T,medium,vanilla,0.1326201455667615,1455.013466950967,22.036227874858408,30.93163185080367,0.3024467653454347,0.2170720208253297,0.535810728486409,0.1781646694407519,0.1781646694407519
Finland_Traffic/15T,medium,covariate_prediction,1.8490302776917815,1349.9919472871377,22.40813012533291,31.467752457412292,0.2846975828026346,0.21613015016852616,0.544871457190699,0.1817351967817334,0.1817351967817334
Finland_Traffic/15T,medium,bayes_covariate_prediction,1.8490454675629735,1302.144643812699,21.460802952448525,30.196863496174487,0.2895098726740557,0.21176125603683538,0.5217990827270548,0.1739497834255538,0.1739497834255538
