dataset,term,method,inference_seconds,MSE,MAE,RMSE,MAPE,sMAPE,MASE,ND,CRPS
Australia_Solar/H,long,vanilla,0.2036733441054821,29006793062.374767,84644.99217871042,131066.97591850343,237.38068742631378,0.6057816975656974,1.2377371273555307,0.2750675202950183,0.2750675202950183
Australia_Solar/H,long,covariate_prediction,0.2036733441054821,29006793062.374767,84644.99217871042,131066.97591850343,237.38068742631378,0.6057816975656974,1.2377371273555307,0.2750675202950183,0.2750675202950183
Australia_Solar/H,long,bayes_covariate_prediction,0.2036733441054821,29006793062.374767,84644.99217871042,131066.97591850343,237.38068742631378,0.6057816975656974,1.2377371273555307,0.2750675202950183,0.2750675202950183
Australia_Solar/H,long,full_ridge_shared,0.2036733441054821,29006793062.374767,84644.99217871042,131066.97591850343,237.38068742631378,0.6057816975656974,1.2377371273555307,0.2750675202950183,0.2750675202950183
Australia_Solar/H,medium,vanilla,0.4672617204487324,28984573121.66203,86466.61060284343,125407.87757592743,221.11277630010127,0.60624675662699,1.2043388373284993,0.2892751542075462,0.2892751542075462
Australia_Solar/H,medium,covariate_prediction,0.4672617204487324,28984573121.66203,86466.61060284343,125407.87757592743,221.11277630010127,0.60624675662699,1.2043388373284993,0.2892751542075462,0.2892751542075462
Australia_Solar/H,medium,bayes_covariate_prediction,0.4672617204487324,28984573121.66203,86466.61060284343,125407.87757592743,221.11277630010127,0.60624675662699,1.2043388373284993,0.2892751542075462,0.2892751542075462
Australia_Solar/H,medium,full_ridge_shared,0.4672617204487324,28984573121.66203,86466.61060284343,125407.87757592743,221.11277630010127,0.60624675662699,1.2043388373284993,0.2892751542075462,0.2892751542075462
Australia_Solar/H,short,vanilla,1.4142981003969908,25681174568.948933,80595.99067875669,105275.90970453121,201.88884847262617,0.586410645580353,1.093029641357897,0.3179264104544651,0.3179264104544651
Australia_Solar/H,short,covariate_prediction,1.4142981003969908,25681174568.948933,80595.99067875669,105275.90970453121,201.88884847262617,0.586410645580353,1.093029641357897,0.3179264104544651,0.3179264104544651
Australia_Solar/H,short,bayes_covariate_prediction,1.4142981003969908,25681174568.948933,80595.99067875669,105275.90970453121,201.88884847262617,0.586410645580353,1.093029641357897,0.3179264104544651,0.3179264104544651
Australia_Solar/H,short,full_ridge_shared,1.4142981003969908,25681174568.948933,80595.99067875669,105275.90970453121,201.88884847262617,0.586410645580353,1.093029641357897,0.3179264104544651,0.3179264104544651
Auto_Production_SF/M,short,vanilla,0.06410609371960163,9.272226822076481,2.3962774912516274,2.946290309442225,0.024828383344163797,0.02454779208880714,0.6043605452526348,0.024046073576934612,0.024046073576934612
Auto_Production_SF/M,short,covariate_prediction,0.06410609371960163,9.272226822076481,2.3962774912516274,2.946290309442225,0.024828383344163797,0.02454779208880714,0.6043605452526348,0.024046073576934612,0.024046073576934612
Auto_Production_SF/M,short,bayes_covariate_prediction,0.06410609371960163,9.272226822076481,2.3962774912516274,2.946290309442225,0.024828383344163797,0.02454779208880714,0.6043605452526348,0.024046073576934612,0.024046073576934612
Auto_Production_SF/M,short,full_ridge_shared,0.06410609371960163,9.272226822076481,2.3962774912516274,2.946290309442225,0.024828383344163797,0.02454779208880714,0.6043605452526348,0.024046073576934612,0.024046073576934612
CPHL/15T,long,vanilla,0.04599496349692345,0.1268142311361365,0.23033303058067314,0.30966390312410425,0.36756569197425054,0.3148897380482458,1.1569175338572653,0.31478368590267736,0.31478368590267736
CPHL/15T,long,covariate_prediction,0.04599496349692345,0.1268142311361365,0.23033303058067314,0.30966390312410425,0.36756569197425054,0.3148897380482458,1.1569175338572653,0.31478368590267736,0.31478368590267736
CPHL/15T,long,bayes_covariate_prediction,0.04599496349692345,0.1268142311361365,0.23033303058067314,0.30966390312410425,0.36756569197425054,0.3148897380482458,1.1569175338572653,0.31478368590267736,0.31478368590267736
CPHL/15T,long,full_ridge_shared,0.04599496349692345,0.1268142311361365,0.23033303058067314,0.30966390312410425,0.36756569197425054,0.3148897380482458,1.1569175338572653,0.31478368590267736,0.31478368590267736
CPHL/15T,medium,vanilla,0.12920663505792618,0.12381329163764764,0.2186489219016978,0.2766424426432396,0.3433816903417899,0.29421017632247354,1.0652255105006003,0.2928304434763275,0.2928304434763275
CPHL/15T,medium,covariate_prediction,0.12920663505792618,0.12381329163764764,0.2186489219016978,0.2766424426432396,0.3433816903417899,0.29421017632247354,1.0652255105006003,0.2928304434763275,0.2928304434763275
CPHL/15T,medium,bayes_covariate_prediction,0.12920663505792618,0.12381329163764764,0.2186489219016978,0.2766424426432396,0.3433816903417899,0.29421017632247354,1.0652255105006003,0.2928304434763275,0.2928304434763275
CPHL/15T,medium,full_ridge_shared,0.12920663505792618,0.12381329163764764,0.2186489219016978,0.2766424426432396,0.3433816903417899,0.29421017632247354,1.0652255105006003,0.2928304434763275,0.2928304434763275
CPHL/15T,short,vanilla,1.0852025235071778,0.06383973294117579,0.13782810076901858,0.16124178392020352,0.19451171216265012,0.1776042996838945,0.6512084133422211,0.18592466725851495,0.18592466725851495
CPHL/15T,short,covariate_prediction,1.0852025235071778,0.06383973294117579,0.13782810076901858,0.16124178392020352,0.19451171216265012,0.1776042996838945,0.6512084133422211,0.18592466725851495,0.18592466725851495
CPHL/15T,short,bayes_covariate_prediction,1.0852025235071778,0.06383973294117579,0.13782810076901858,0.16124178392020352,0.19451171216265012,0.1776042996838945,0.6512084133422211,0.18592466725851495,0.18592466725851495
CPHL/15T,short,full_ridge_shared,1.0852025235071778,0.06383973294117579,0.13782810076901858,0.16124178392020352,0.19451171216265012,0.1776042996838945,0.6512084133422211,0.18592466725851495,0.18592466725851495
CPHL/30T,long,vanilla,0.08649236895143986,0.8956668857110113,0.5741906138662687,0.7054810125821362,0.5005524981095701,0.40628397499708935,1.7964635237217261,0.36924656499499575,0.36924656499499575
CPHL/30T,long,covariate_prediction,0.08649236895143986,0.8956668857110113,0.5741906138662687,0.7054810125821362,0.5005524981095701,0.40628397499708935,1.7964635237217261,0.36924656499499575,0.36924656499499575
CPHL/30T,long,bayes_covariate_prediction,0.08649236895143986,0.8956668857110113,0.5741906138662687,0.7054810125821362,0.5005524981095701,0.40628397499708935,1.7964635237217261,0.36924656499499575,0.36924656499499575
CPHL/30T,long,full_ridge_shared,0.08649236895143986,0.8956668857110113,0.5741906138662687,0.7054810125821362,0.5005524981095701,0.40628397499708935,1.7964635237217261,0.36924656499499575,0.36924656499499575
CPHL/30T,medium,vanilla,0.26189904008060694,0.7479045384272057,0.5134040725779416,0.6303312479676214,0.43115999265678284,0.3324126013999063,1.5182478226687985,0.32293591255642445,0.32293591255642445
CPHL/30T,medium,covariate_prediction,0.26189904008060694,0.7479045384272057,0.5134040725779416,0.6303312479676214,0.43115999265678284,0.3324126013999063,1.5182478226687985,0.32293591255642445,0.32293591255642445
CPHL/30T,medium,bayes_covariate_prediction,0.26189904008060694,0.7479045384272057,0.5134040725779416,0.6303312479676214,0.43115999265678284,0.3324126013999063,1.5182478226687985,0.32293591255642445,0.32293591255642445
CPHL/30T,medium,full_ridge_shared,0.26189904008060694,0.7479045384272057,0.5134040725779416,0.6303312479676214,0.43115999265678284,0.3324126013999063,1.5182478226687985,0.32293591255642445,0.32293591255642445
CPHL/30T,short,vanilla,1.0819364180788398,0.641689908728874,0.4646460917216238,0.5627357899662422,0.3676987273037361,0.2924005487810213,1.3695101434084038,0.2852333242955998,0.2852333242955998
CPHL/30T,short,covariate_prediction,1.0819364180788398,0.641689908728874,0.4646460917216238,0.5627357899662422,0.3676987273037361,0.2924005487810213,1.3695101434084038,0.2852333242955998,0.2852333242955998
CPHL/30T,short,bayes_covariate_prediction,1.0819364180788398,0.641689908728874,0.4646460917216238,0.5627357899662422,0.3676987273037361,0.2924005487810213,1.3695101434084038,0.2852333242955998,0.2852333242955998
CPHL/30T,short,full_ridge_shared,1.0819364180788398,0.641689908728874,0.4646460917216238,0.5627357899662422,0.3676987273037361,0.2924005487810213,1.3695101434084038,0.2852333242955998,0.2852333242955998
CPHL/H,long,vanilla,0.10367101896554232,0.5238753671970158,0.46637763089673234,0.5840168701624235,0.5131048679015625,0.4727029953109553,2.139118293587509,0.4463565860553285,0.4463565860553285
CPHL/H,long,covariate_prediction,0.10367101896554232,0.5238753671970158,0.46637763089673234,0.5840168701624235,0.5131048679015625,0.4727029953109553,2.139118293587509,0.4463565860553285,0.4463565860553285
CPHL/H,long,bayes_covariate_prediction,0.10367101896554232,0.5238753671970158,0.46637763089673234,0.5840168701624235,0.5131048679015625,0.4727029953109553,2.139118293587509,0.4463565860553285,0.4463565860553285
CPHL/H,long,full_ridge_shared,0.10367101896554232,0.5238753671970158,0.46637763089673234,0.5840168701624235,0.5131048679015625,0.4727029953109553,2.139118293587509,0.4463565860553285,0.4463565860553285
CPHL/H,medium,vanilla,0.1869883742183447,0.47903075966177794,0.4369972794182171,0.5399704494369248,0.46303297025987034,0.4131259762367928,1.8356687519554202,0.39470882761655923,0.39470882761655923
CPHL/H,medium,covariate_prediction,0.1869883742183447,0.47903075966177794,0.4369972794182171,0.5399704494369248,0.46303297025987034,0.4131259762367928,1.8356687519554202,0.39470882761655923,0.39470882761655923
CPHL/H,medium,bayes_covariate_prediction,0.1869883742183447,0.47903075966177794,0.4369972794182171,0.5399704494369248,0.46303297025987034,0.4131259762367928,1.8356687519554202,0.39470882761655923,0.39470882761655923
CPHL/H,medium,full_ridge_shared,0.1869883742183447,0.47903075966177794,0.4369972794182171,0.5399704494369248,0.46303297025987034,0.4131259762367928,1.8356687519554202,0.39470882761655923,0.39470882761655923
CPHL/H,short,vanilla,1.5514869140461087,0.3634176779817256,0.33903065999466,0.4101567684461488,0.333054094323602,0.2883500292506055,1.2422315658671745,0.2835850089458662,0.2835850089458662
