dataset,term,method,base_method,inference_seconds,task_fallback,task_fallback_reason,nonfinite_fallback,nonfinite_fallback_windows,selected_validated_method,validated_method_selection_rates,fallback_to_vanilla_windows,fallback_to_vanilla_evaluation_windows,fallback_to_vanilla_rate,scaled_MASE,CRPS,CRPS_finite_values,CRPS_evaluation_values,CRPS_total_values,MAE,MAE_finite_values,MAE_evaluation_values,MAE_total_values,MAPE,MAPE_finite_values,MAPE_evaluation_values,MAPE_total_values,MASE,MASE_finite_values,MASE_evaluation_values,MASE_total_values,MSE,MSE_finite_values,MSE_evaluation_values,MSE_total_values,ND,ND_finite_values,ND_evaluation_values,ND_total_values,RMSE,RMSE_finite_values,RMSE_evaluation_values,RMSE_total_values,sMAPE,sMAPE_finite_values,sMAPE_evaluation_values,sMAPE_total_values
Australia_Solar/H,long,bayes_covariate_prediction,bayes_covariate_prediction,0.20484839472919703,False,,False,0.0,vanilla,"{""vanilla"": 1.0}",45.0,45.0,1.0,0.9697973964108609,0.2750675202950183,45,45,45,84644.99217871042,45,45,45,237.38068742631378,45,45,45,1.2377371273555307,45,45,45,29006793062.374767,45,45,45,0.2750675202950183,45,45,45,131066.97591850343,45,45,45,0.6057816975656974,45,45,45
Australia_Solar/H,long,bayes_past_targets_prediction,bayes_past_targets_prediction,0.20484839472919703,False,,False,0.0,vanilla,"{""vanilla"": 1.0}",45.0,45.0,1.0,0.9697973964108609,0.2750675202950183,45,45,45,84644.99217871042,45,45,45,237.38068742631378,45,45,45,1.2377371273555307,45,45,45,29006793062.374767,45,45,45,0.2750675202950183,45,45,45,131066.97591850343,45,45,45,0.6057816975656974,45,45,45
Australia_Solar/H,long,cov_ridge_shared,cov_ridge_shared,0.20484839472919703,False,,False,0.0,vanilla,"{""vanilla"": 1.0}",45.0,45.0,1.0,0.9697973964108609,0.2750675202950183,45,45,45,84644.99217871042,45,45,45,237.38068742631378,45,45,45,1.2377371273555307,45,45,45,29006793062.374767,45,45,45,0.2750675202950183,45,45,45,131066.97591850343,45,45,45,0.6057816975656974,45,45,45
Australia_Solar/H,long,covariate_prediction,covariate_prediction,0.20484839472919703,False,,False,0.0,vanilla,"{""vanilla"": 1.0}",45.0,45.0,1.0,0.9697973964108609,0.2750675202950183,45,45,45,84644.99217871042,45,45,45,237.38068742631378,45,45,45,1.2377371273555307,45,45,45,29006793062.374767,45,45,45,0.2750675202950183,45,45,45,131066.97591850343,45,45,45,0.6057816975656974,45,45,45
Australia_Solar/H,long,full_ridge_per_variate,full_ridge_per_variate,0.20484839472919703,False,,False,0.0,vanilla,"{""vanilla"": 1.0}",45.0,45.0,1.0,0.9697973964108609,0.2750675202950183,45,45,45,84644.99217871042,45,45,45,237.38068742631378,45,45,45,1.2377371273555307,45,45,45,29006793062.374767,45,45,45,0.2750675202950183,45,45,45,131066.97591850343,45,45,45,0.6057816975656974,45,45,45
Australia_Solar/H,long,full_ridge_shared,full_ridge_shared,0.20484839472919703,False,,False,0.0,vanilla,"{""vanilla"": 1.0}",45.0,45.0,1.0,0.9697973964108609,0.2750675202950183,45,45,45,84644.99217871042,45,45,45,237.38068742631378,45,45,45,1.2377371273555307,45,45,45,29006793062.374767,45,45,45,0.2750675202950183,45,45,45,131066.97591850343,45,45,45,0.6057816975656974,45,45,45
Australia_Solar/H,long,seasonal_naive,seasonal_naive,0.36489084642380476,False,,False,0.0,,,,,,1.0,0.3065438118845226,45,45,45,86718.3089314862,45,45,45,435.72246344921126,45,45,45,1.2762842341465261,45,45,45,30836958999.90575,45,45,45,0.28893114412463594,45,45,45,138890.2710289207,45,45,45,0.3267555289614799,45,45,45
Australia_Solar/H,long,selected_adaptation,selected_adaptation,0.20484839472919703,False,,False,0.0,vanilla,"{""vanilla"": 1.0}",45.0,45.0,1.0,0.9697973964108609,0.2750675202950183,45,45,45,84644.99217871042,45,45,45,237.38068742631378,45,45,45,1.2377371273555307,45,45,45,29006793062.374767,45,45,45,0.2750675202950183,45,45,45,131066.97591850343,45,45,45,0.6057816975656974,45,45,45
Australia_Solar/H,long,tsrag,tsrag,0.3993787709623575,False,,True,30.0,,,,,,0.947058964118938,0.2699746698676951,45,45,45,80959.61310118905,45,45,45,177.74508378043583,45,45,45,1.2087164247121411,45,45,45,25904242901.848682,45,45,45,0.2699746698676951,45,45,45,127972.63506794951,45,45,45,0.6072813594486407,45,45,45
Australia_Solar/H,long,vanilla,vanilla,0.20484839472919703,False,,False,0.0,,,,,,0.9697973964108609,0.2750675202950183,45,45,45,84644.99217871042,45,45,45,237.38068742631378,45,45,45,1.2377371273555307,45,45,45,29006793062.374767,45,45,45,0.2750675202950183,45,45,45,131066.97591850343,45,45,45,0.6057816975656974,45,45,45
Australia_Solar/H,long,y_ridge_shared,y_ridge_shared,0.20484839472919703,False,,False,0.0,vanilla,"{""vanilla"": 1.0}",45.0,45.0,1.0,0.9697973964108609,0.2750675202950183,45,45,45,84644.99217871042,45,45,45,237.38068742631378,45,45,45,1.2377371273555307,45,45,45,29006793062.374767,45,45,45,0.2750675202950183,45,45,45,131066.97591850343,45,45,45,0.6057816975656974,45,45,45
Australia_Solar/H,medium,bayes_covariate_prediction,bayes_covariate_prediction,1.8331928211264312,False,,False,0.0,full_ridge_per_variate,"{""full_ridge_per_variate"": 1.0}",105.0,105.0,1.0,0.8861983127335661,0.2892751542075462,105,105,105,86466.61060284343,105,105,105,221.11277630010127,105,105,105,1.2043388373284993,105,105,105,28984573121.66203,105,105,105,0.2892751542075462,105,105,105,125407.87757592743,105,105,105,0.60624675662699,105,105,105
