feature,model,spearman_rho,datasets
stationarity,chronos2,-0.3131597708849628,50
stationarity,chronos_bolt,-0.3505519823339136,50
stationarity,seasonal_naive,-0.3877007549062436,50
stationarity,ts_icl,-0.36919940028306486,50
stationarity,mean_absolute,0.3551529771020462,50
x_entropy,chronos2,-0.1599519807923169,50
x_entropy,chronos_bolt,-0.254453781512605,50
x_entropy,seasonal_naive,-0.09003601440576231,50
x_entropy,ts_icl,-0.20960384153661463,50
x_entropy,mean_absolute,0.17851140456182468,50
temporal_location_heterogeneity,chronos2,0.6281392557022808,50
temporal_location_heterogeneity,chronos_bolt,0.5830012004801921,50
temporal_location_heterogeneity,seasonal_naive,0.47466986794717886,50
temporal_location_heterogeneity,ts_icl,0.5988475390156063,50
temporal_location_heterogeneity,mean_absolute,0.5711644657863145,50
temporal_scale_heterogeneity,chronos2,0.6780792316926769,50
temporal_scale_heterogeneity,chronos_bolt,0.6148859543817526,50
temporal_scale_heterogeneity,seasonal_naive,0.5741656662665066,50
temporal_scale_heterogeneity,ts_icl,0.6560864345738295,50
temporal_scale_heterogeneity,mean_absolute,0.6308043217286914,50
temporal_frequency_heterogeneity,chronos2,-0.04355342136854741,50
temporal_frequency_heterogeneity,chronos_bolt,-0.14237695078031212,50
temporal_frequency_heterogeneity,seasonal_naive,-0.25282112845138055,50
temporal_frequency_heterogeneity,ts_icl,-0.12470588235294117,50
temporal_frequency_heterogeneity,mean_absolute,0.14086434573829532,50
temporal_heterogeneity,chronos2,0.6828811524609842,50
temporal_heterogeneity,chronos_bolt,0.6312124849939976,50
temporal_heterogeneity,seasonal_naive,0.5110684273709484,50
temporal_heterogeneity,ts_icl,0.6570468187274909,50
temporal_heterogeneity,mean_absolute,0.6205522208883553,50
trend_strength,chronos2,0.30516206482593033,50
trend_strength,chronos_bolt,0.2779831932773109,50
trend_strength,seasonal_naive,0.18050420168067227,50
trend_strength,ts_icl,0.2869147659063625,50
trend_strength,mean_absolute,0.262641056422569,50
trend_stability,chronos2,0.34597839135654257,50
trend_stability,chronos_bolt,0.2797118847539015,50
trend_stability,seasonal_naive,0.15515006002400963,50
trend_stability,ts_icl,0.303625450180072,50
trend_stability,mean_absolute,0.27111644657863143,50
trend_hurst,chronos2,0.49848739495798317,50
trend_hurst,chronos_bolt,0.47630252100840337,50
trend_hurst,seasonal_naive,0.38861944777911167,50
trend_hurst,ts_icl,0.5039615846338535,50
trend_hurst,mean_absolute,0.4668427370948379,50
trend_nonlinearity,chronos2,0.2771188475390156,50
trend_nonlinearity,chronos_bolt,0.2368787515006002,50
trend_nonlinearity,seasonal_naive,0.35865546218487393,50
trend_nonlinearity,ts_icl,0.2791356542617046,50
trend_nonlinearity,mean_absolute,0.28794717887154864,50
linearity,chronos2,-0.1512124849939976,50
linearity,chronos_bolt,-0.09551020408163265,50
linearity,seasonal_naive,-0.03279711884753902,50
linearity,ts_icl,-0.11980792316926771,50
linearity,mean_absolute,0.09983193277310923,50
curvature,chronos2,0.25349339735894355,50
curvature,chronos_bolt,0.26319327731092435,50
curvature,seasonal_naive,0.2661704681872749,50
curvature,ts_icl,0.23716686674669865,50
curvature,mean_absolute,0.2550060024009604,50
seasonal_strength,chronos2,-0.25656662665066027,50
seasonal_strength,chronos_bolt,-0.13824729891956783,50
seasonal_strength,seasonal_naive,0.0052340936374549825,50
seasonal_strength,ts_icl,-0.18357743097238896,50
seasonal_strength,mean_absolute,0.14590636254501801,50
seasonal_corr,chronos2,-0.1727250900360144,50
seasonal_corr,chronos_bolt,-0.100984393757503,50
seasonal_corr,seasonal_naive,0.11673469387755102,50
seasonal_corr,ts_icl,-0.11548619447779111,50
seasonal_corr,mean_absolute,0.12648259303721487,50
seasonal_lumpiness,chronos2,-0.15466986794717885,50
seasonal_lumpiness,chronos_bolt,-0.04768307322929172,50
seasonal_lumpiness,seasonal_naive,0.05459783913565427,50
seasonal_lumpiness,ts_icl,-0.08321728691476589,50
seasonal_lumpiness,mean_absolute,0.08504201680672267,50
seasonal_entropy,chronos2,0.17963985594237694,50
seasonal_entropy,chronos_bolt,0.07870348139255702,50
seasonal_entropy,seasonal_naive,-0.05584633853541416,50
seasonal_entropy,ts_icl,0.11798319327731092,50
seasonal_entropy,mean_absolute,0.10804321728691477,50
e_acf1,chronos2,0.12614645858343337,50
e_acf1,chronos_bolt,0.1367106842737095,50
e_acf1,seasonal_naive,0.06525810324129651,50
e_acf1,ts_icl,0.12460984393757503,50
e_acf1,mean_absolute,0.1131812725090036,50
e_acf10,chronos2,0.0385594237695078,50
e_acf10,chronos_bolt,0.1828091236494598,50
e_acf10,seasonal_naive,-0.12681872749099637,50
e_acf10,ts_icl,0.1201920768307323,50
e_acf10,mean_absolute,0.11709483793517407,50
e_diff1_acf1,chronos2,0.1997118847539016,50
e_diff1_acf1,chronos_bolt,0.20384153661464588,50
e_diff1_acf1,seasonal_naive,0.12172869147659063,50
e_diff1_acf1,ts_icl,0.19942376950780313,50
e_diff1_acf1,mean_absolute,0.1811764705882353,50
e_entropy,chronos2,0.10136854741896759,50
e_entropy,chronos_bolt,-0.046626650660264106,50
e_entropy,seasonal_naive,0.1328691476590636,50
e_entropy,ts_icl,0.00936374549819928,50
e_entropy,mean_absolute,0.07255702280912366,50
e_kurtosis,chronos2,0.004465786314525811,50
e_kurtosis,chronos_bolt,0.007635054021608643,50
e_kurtosis,seasonal_naive,0.07399759903961585,50
e_kurtosis,ts_icl,-0.017911164465786316,50
e_kurtosis,mean_absolute,0.026002400960384156,50
e_shapiro_w,chronos2,-0.11510204081632652,50
e_shapiro_w,chronos_bolt,-0.08436974789915966,50
e_shapiro_w,seasonal_naive,-0.18012004801920767,50
e_shapiro_w,ts_icl,-0.09848739495798318,50
e_shapiro_w,mean_absolute,0.11951980792316927,50
e_arch_lm,chronos2,0.16312124849939974,50
e_arch_lm,chronos_bolt,0.2173829531812725,50
e_arch_lm,seasonal_naive,0.07342136854741896,50
e_arch_lm,ts_icl,0.19308523409363745,50
e_arch_lm,mean_absolute,0.16175270108043216,50
spike,chronos2,0.008787515006002401,50
spike,chronos_bolt,-0.0480672268907563,50
spike,seasonal_naive,0.15130852340936377,50
spike,ts_icl,0.0028331332533013207,50
spike,mean_absolute,0.05274909963985595,50
mean,chronos2,-0.13258103241296518,50
mean,chronos_bolt,-0.1510204081632653,50
mean,seasonal_naive,0.10232893157262904,50
mean,ts_icl,-0.1249939975990396,50
mean,mean_absolute,0.12773109243697478,50
std,chronos2,-0.07870348139255702,50
std,chronos_bolt,-0.1466986794717887,50
std,seasonal_naive,0.13805522208883553,50
std,ts_icl,-0.10136854741896759,50
std,mean_absolute,0.1162064825930372,50
missing_rate,chronos2,0.27249327258694067,50
missing_rate,chronos_bolt,0.19492099026358387,50
missing_rate,seasonal_naive,0.09347184940949166,50
missing_rate,ts_icl,0.23541262132031482,50
missing_rate,mean_absolute,0.19907468339508275,50
length,chronos2,-0.17911594521237734,50
length,chronos_bolt,-0.14919926052945207,50
length,seasonal_naive,-0.286729573421744,50
length,ts_icl,-0.19136113717729855,50
length,mean_absolute,0.20160147908521797,50
period1,chronos2,-0.08142461307082217,50
period1,chronos_bolt,0.04971902431992958,50
period1,seasonal_naive,-0.13891223494074076,50
period1,ts_icl,-0.027384306363711215,50
period1,mean_absolute,0.07436004467380093,50
period2,chronos2,-0.3821639752468631,39
period2,chronos_bolt,-0.3162911075962502,39
period2,seasonal_naive,-0.350240970154643,39
period2,ts_icl,-0.35368662784713656,39
period2,mean_absolute,0.3505956702112232,50
period3,chronos2,-0.2066800671376966,39
period3,chronos_bolt,-0.15184244265437444,39
period3,seasonal_naive,-0.32385621113533136,39
period3,ts_icl,-0.19563145148394037,39
period3,mean_absolute,0.21950254310283568,50
p_strength1,chronos2,-0.12653061224489795,50
p_strength1,chronos_bolt,-0.12576230492196877,50
p_strength1,seasonal_naive,0.03932773109243697,50
p_strength1,ts_icl,-0.12172869147659063,50
p_strength1,mean_absolute,0.1033373349339736,50
p_strength2,chronos2,0.2210526315789474,39
p_strength2,chronos_bolt,0.31295546558704457,39
p_strength2,seasonal_naive,0.1082995951417004,39
p_strength2,ts_icl,0.258502024291498,39
p_strength2,mean_absolute,0.2252024291497976,50
p_strength3,chronos2,0.198582995951417,39
p_strength3,chronos_bolt,0.2819838056680162,39
p_strength3,seasonal_naive,0.1465587044534413,39
p_strength3,ts_icl,0.24635627530364373,39
p_strength3,mean_absolute,0.21837044534412958,50
spatial_location_heterogeneity,chronos2,-0.014551217470950875,50
spatial_location_heterogeneity,chronos_bolt,0.02905441112186561,50
spatial_location_heterogeneity,seasonal_naive,-0.10377947509810179,50
spatial_location_heterogeneity,ts_icl,-0.03500936480634716,50
spatial_location_heterogeneity,mean_absolute,0.04559861712431636,50
