feature,model,spearman_rho,datasets
spatial_scale_heterogeneity,chronos2,0.09369447289051207,50
spatial_scale_heterogeneity,chronos_bolt,0.06651299075005598,50
spatial_scale_heterogeneity,seasonal_naive,0.08754742392588596,50
spatial_scale_heterogeneity,ts_icl,0.056908226742827674,50
spatial_scale_heterogeneity,mean_absolute,0.07616577857732042,50
spatial_frequency_heterogeneity,chronos2,-0.020890361715721555,50
spatial_frequency_heterogeneity,chronos_bolt,-0.03500936480634716,50
spatial_frequency_heterogeneity,seasonal_naive,-0.13124910015877472,50
spatial_frequency_heterogeneity,ts_icl,-0.07765451699844082,50
spatial_frequency_heterogeneity,mean_absolute,0.06620083591982107,50
spatial_heterogeneity,chronos2,0.04932046317711732,50
spatial_heterogeneity,chronos_bolt,0.05037698721791244,50
spatial_heterogeneity,seasonal_naive,-0.041540604331262394,50
spatial_heterogeneity,ts_icl,0.013878883990444893,50
spatial_heterogeneity,mean_absolute,0.03877923467918427,50
