feature,model,spearman_rho,datasets
stationarity,chronos2,-0.3131597708849628,50
stationarity,chronos_bolt,-0.3505519823339136,50
stationarity,seasonal_naive,-0.3894535148179132,50
stationarity,ts_icl,-0.36919940028306486,50
stationarity,mean_absolute,0.35559116707996363,50
x_entropy,chronos2,-0.1599519807923169,50
x_entropy,chronos_bolt,-0.254453781512605,50
x_entropy,seasonal_naive,-0.09512605042016806,50
x_entropy,ts_icl,-0.20960384153661463,50
x_entropy,mean_absolute,0.17978391356542614,50
temporal_location_heterogeneity,chronos2,0.6281392557022808,50
temporal_location_heterogeneity,chronos_bolt,0.5830012004801921,50
temporal_location_heterogeneity,seasonal_naive,0.4619927971188475,50
temporal_location_heterogeneity,ts_icl,0.5988475390156063,50
temporal_location_heterogeneity,mean_absolute,0.5679951980792317,50
temporal_scale_heterogeneity,chronos2,0.6780792316926769,50
temporal_scale_heterogeneity,chronos_bolt,0.6148859543817526,50
temporal_scale_heterogeneity,seasonal_naive,0.5618727490996398,50
temporal_scale_heterogeneity,ts_icl,0.6560864345738295,50
temporal_scale_heterogeneity,mean_absolute,0.6277310924369748,50
temporal_frequency_heterogeneity,chronos2,-0.04355342136854741,50
temporal_frequency_heterogeneity,chronos_bolt,-0.14237695078031212,50
temporal_frequency_heterogeneity,seasonal_naive,-0.26300120048019204,50
temporal_frequency_heterogeneity,ts_icl,-0.12470588235294117,50
temporal_frequency_heterogeneity,mean_absolute,0.14340936374549818,50
temporal_heterogeneity,chronos2,0.6828811524609842,50
temporal_heterogeneity,chronos_bolt,0.6312124849939976,50
temporal_heterogeneity,seasonal_naive,0.49848739495798317,50
temporal_heterogeneity,ts_icl,0.6570468187274909,50
temporal_heterogeneity,mean_absolute,0.617406962785114,50
trend_strength,chronos2,0.30516206482593033,50
trend_strength,chronos_bolt,0.2779831932773109,50
trend_strength,seasonal_naive,0.18098439375750297,50
trend_strength,ts_icl,0.2869147659063625,50
trend_strength,mean_absolute,0.2627611044417767,50
trend_stability,chronos2,0.34597839135654257,50
trend_stability,chronos_bolt,0.2797118847539015,50
trend_stability,seasonal_naive,0.15034813925570228,50
trend_stability,ts_icl,0.303625450180072,50
trend_stability,mean_absolute,0.2699159663865546,50
trend_hurst,chronos2,0.49848739495798317,50
trend_hurst,chronos_bolt,0.47630252100840337,50
trend_hurst,seasonal_naive,0.3825690276110444,50
trend_hurst,ts_icl,0.5039615846338535,50
trend_hurst,mean_absolute,0.46533013205282114,50
trend_nonlinearity,chronos2,0.2771188475390156,50
trend_nonlinearity,chronos_bolt,0.2368787515006002,50
trend_nonlinearity,seasonal_naive,0.35193277310924365,50
trend_nonlinearity,ts_icl,0.2791356542617046,50
trend_nonlinearity,mean_absolute,0.286266506602641,50
linearity,chronos2,-0.1512124849939976,50
linearity,chronos_bolt,-0.09551020408163265,50
linearity,seasonal_naive,-0.02645858343337335,50
linearity,ts_icl,-0.11980792316926771,50
linearity,mean_absolute,0.09824729891956782,50
curvature,chronos2,0.25349339735894355,50
curvature,chronos_bolt,0.26319327731092435,50
curvature,seasonal_naive,0.2706842737094838,50
curvature,ts_icl,0.23716686674669865,50
curvature,mean_absolute,0.2561344537815126,50
seasonal_strength,chronos2,-0.25656662665066027,50
seasonal_strength,chronos_bolt,-0.13824729891956783,50
seasonal_strength,seasonal_naive,0.013301320528211284,50
seasonal_strength,ts_icl,-0.18357743097238896,50
seasonal_strength,mean_absolute,0.14792316926770707,50
seasonal_corr,chronos2,-0.1727250900360144,50
seasonal_corr,chronos_bolt,-0.100984393757503,50
seasonal_corr,seasonal_naive,0.12307322929171667,50
seasonal_corr,ts_icl,-0.11548619447779111,50
seasonal_corr,mean_absolute,0.12806722689075628,50
seasonal_lumpiness,chronos2,-0.15466986794717885,50
seasonal_lumpiness,chronos_bolt,-0.04768307322929172,50
seasonal_lumpiness,seasonal_naive,0.05968787515006002,50
seasonal_lumpiness,ts_icl,-0.08321728691476589,50
seasonal_lumpiness,mean_absolute,0.08631452581032412,50
seasonal_entropy,chronos2,0.17963985594237694,50
seasonal_entropy,chronos_bolt,0.07870348139255702,50
seasonal_entropy,seasonal_naive,-0.06496998799519808,50
seasonal_entropy,ts_icl,0.11798319327731092,50
seasonal_entropy,mean_absolute,0.11032412965186075,50
e_acf1,chronos2,0.12614645858343337,50
e_acf1,chronos_bolt,0.1367106842737095,50
e_acf1,seasonal_naive,0.07342136854741896,50
e_acf1,ts_icl,0.12460984393757503,50
e_acf1,mean_absolute,0.11522208883553423,50
e_acf10,chronos2,0.0385594237695078,50
e_acf10,chronos_bolt,0.1828091236494598,50
e_acf10,seasonal_naive,-0.11337334933973588,50
e_acf10,ts_icl,0.1201920768307323,50
e_acf10,mean_absolute,0.11373349339735894,50
e_diff1_acf1,chronos2,0.1997118847539016,50
e_diff1_acf1,chronos_bolt,0.20384153661464588,50
e_diff1_acf1,seasonal_naive,0.12864345738295319,50
e_diff1_acf1,ts_icl,0.19942376950780313,50
e_diff1_acf1,mean_absolute,0.18290516206482593,50
e_entropy,chronos2,0.10136854741896759,50
e_entropy,chronos_bolt,-0.046626650660264106,50
e_entropy,seasonal_naive,0.1224969987995198,50
e_entropy,ts_icl,0.00936374549819928,50
e_entropy,mean_absolute,0.0699639855942377,50
e_kurtosis,chronos2,0.004465786314525811,50
e_kurtosis,chronos_bolt,0.007635054021608643,50
e_kurtosis,seasonal_naive,0.06679471788715485,50
e_kurtosis,ts_icl,-0.017911164465786316,50
e_kurtosis,mean_absolute,0.024201680672268907,50
e_shapiro_w,chronos2,-0.11510204081632652,50
e_shapiro_w,chronos_bolt,-0.08436974789915966,50
e_shapiro_w,seasonal_naive,-0.169171668667467,50
e_shapiro_w,ts_icl,-0.09848739495798318,50
e_shapiro_w,mean_absolute,0.1167827130852341,50
e_arch_lm,chronos2,0.16312124849939974,50
e_arch_lm,chronos_bolt,0.2173829531812725,50
e_arch_lm,seasonal_naive,0.08081632653061224,50
e_arch_lm,ts_icl,0.19308523409363745,50
e_arch_lm,mean_absolute,0.16360144057623047,50
spike,chronos2,0.008787515006002401,50
spike,chronos_bolt,-0.0480672268907563,50
spike,seasonal_naive,0.1392076830732293,50
spike,ts_icl,0.0028331332533013207,50
spike,mean_absolute,0.04972388955582233,50
mean,chronos2,-0.13258103241296518,50
mean,chronos_bolt,-0.1510204081632653,50
mean,seasonal_naive,0.09637454981992796,50
mean,ts_icl,-0.1249939975990396,50
mean,mean_absolute,0.12624249699879952,50
std,chronos2,-0.07870348139255702,50
std,chronos_bolt,-0.1466986794717887,50
std,seasonal_naive,0.13171668667466988,50
std,ts_icl,-0.10136854741896759,50
std,mean_absolute,0.1146218487394958,50
missing_rate,chronos2,0.27249327258694067,50
missing_rate,chronos_bolt,0.19492099026358387,50
missing_rate,seasonal_naive,0.09589254474440494,50
missing_rate,ts_icl,0.23541262132031482,50
missing_rate,mean_absolute,0.19967985722881107,50
length,chronos2,-0.17911594521237734,50
length,chronos_bolt,-0.14919926052945207,50
length,seasonal_naive,-0.276549256964633,50
length,ts_icl,-0.19136113717729855,50
length,mean_absolute,0.1990563999709402,50
period1,chronos2,-0.08142461307082217,50
period1,chronos_bolt,0.04971902431992958,50
period1,seasonal_naive,-0.13060954630919,50
period1,ts_icl,-0.027384306363711215,50
period1,mean_absolute,0.07228437251591323,50
period2,chronos2,-0.3821639752468631,39
period2,chronos_bolt,-0.3162911075962502,39
period2,seasonal_naive,-0.3322019387057059,39
period2,ts_icl,-0.35368662784713656,39
period2,mean_absolute,0.346085912348989,50
period3,chronos2,-0.2066800671376966,39
period3,chronos_bolt,-0.15184244265437444,39
period3,seasonal_naive,-0.32324803045714295,39
period3,ts_icl,-0.19563145148394037,39
period3,mean_absolute,0.2193504979332886,50
p_strength1,chronos2,-0.12653061224489795,50
p_strength1,chronos_bolt,-0.12576230492196877,50
p_strength1,seasonal_naive,0.03750300120048019,50
p_strength1,ts_icl,-0.12172869147659063,50
p_strength1,mean_absolute,0.10288115246098439,50
p_strength2,chronos2,0.2210526315789474,39
p_strength2,chronos_bolt,0.31295546558704457,39
p_strength2,seasonal_naive,0.11700404858299596,39
p_strength2,ts_icl,0.258502024291498,39
p_strength2,mean_absolute,0.22737854251012146,50
p_strength3,chronos2,0.198582995951417,39
p_strength3,chronos_bolt,0.2819838056680162,39
p_strength3,seasonal_naive,0.1625506072874494,39
p_strength3,ts_icl,0.24635627530364373,39
p_strength3,mean_absolute,0.2223684210526316,50
spatial_location_heterogeneity,chronos2,-0.014551217470950875,50
spatial_location_heterogeneity,chronos_bolt,0.02905441112186561,50
spatial_location_heterogeneity,seasonal_naive,-0.11645776358764315,50
spatial_location_heterogeneity,ts_icl,-0.03500936480634716,50
spatial_location_heterogeneity,mean_absolute,0.04876818924670169,50
